# total cortical volume 
# Label   ROI value
  0   6107.2500
  1   41188.6000
  2   25194.9000
  3   76941.5000
  4   1286.0200
  5   10433.1000
  6   8145.9200
  7   48612.5000
  8   5310.0800
 Total  223221.0000
