# total cortical volume 
# Label   ROI value
  0   5736.7500
  1   41673.0000
  2   21242.9000
  3   69994.3000
  4   1633.3900
  5   9582.9100
  6   8084.8900
  7   36994.9000
  8   5446.9800
 Total  200390.0000
