# cortical area 
# Label   ROI value
  0   3686.6400
  1   18171.5000
  2   11220.4000
  3   30435.9000
  4   501.7000
  5   4363.0600
  6   2873.6300
  7   18245.2000
  8   1504.0400
 Total  91002.0000
