# cortical area 
# Label   ROI value
  0   3428.4000
  1   19713.4000
  2   9904.6400
  3   29716.8000
  4   963.4710
  5   4790.4700
  6   3452.2100
  7   15651.0000
  8   1834.8800
 Total  89455.7000
